1.718054545454372750e-03 1.315902445454545378e+00 -6.618850000000064959e-03
3.844910227273901082e-03 1.315036802840911179e+00 -5.979803352272453076e-03
5.809385227273866636e-03 1.314291540340911446e+00 -5.348865227272445177e-03
8.019416477273888511e-03 1.313460390340911221e+00 -4.649866477272432408e-03
1.105102272727387369e-02 1.312187609090911256e+00 -3.860634602272441929e-03
1.358146647727387357e-02 1.311013834090911212e+00 -3.311108977272422815e-03
1.648624147727395517e-02 1.309614440340911123e+00 -2.716930227272415510e-03
1.974311647727383656e-02 1.308047815340911413e+00 -2.030835227272431709e-03
2.324007897727398131e-02 1.306415109090911297e+00 -1.221255227272399768e-03
2.689062897727395596e-02 1.304760315340911303e+00 -3.035121022724046602e-04
3.066539147727398440e-02 1.303054452840911148e+00 6.697866477275715713e-04
3.455805397727390593e-02 1.301239884090911181e+00 1.632379772727579614e-03
3.655261022727396281e-02 1.300275865340911219e+00 2.093721647727586621e-03
3.854962897727398641e-02 1.299292584090911085e+00 2.540099147727584161e-03
4.053511647727392475e-02 1.298300121590911349e+00 2.971707897727590697e-03
4.251482272727391543e-02 1.297295809090911245e+00 3.388049772727580455e-03
4.450748522727387968e-02 1.296267702840911085e+00 3.790491022727604520e-03
4.651974772727396346e-02 1.295208684090911166e+00 4.176858522727588952e-03
4.854832272727399589e-02 1.294115902840911270e+00 4.545603522727606483e-03
5.061248522727396226e-02 1.292970815340911184e+00 4.891278522727610101e-03
5.273729772727397958e-02 1.291752640340911196e+00 5.211178522727580309e-03
5.490851647727407192e-02 1.290469246590911112e+00 5.502559772727594334e-03
5.709977272727395636e-02 1.289139377840911038e+00 5.766459772727591804e-03
5.931533522727405749e-02 1.287761646590911191e+00 6.004841022727594457e-03
6.157080397727404675e-02 1.286326371590911233e+00 6.221484772727603474e-03
6.387049147727408283e-02 1.284828365340910938e+00 6.413466022727604132e-03
6.622812897727409220e-02 1.283256996590911081e+00 6.582316022727588423e-03
6.864212272727404640e-02 1.281610359090911144e+00 6.727478522727620147e-03
7.110669772727407079e-02 1.279894159090911199e+00 6.850847272727597637e-03
7.362044147727403454e-02 1.278111234090911097e+00 6.957728522727607556e-03
7.617202897727409772e-02 1.276268771590911122e+00 7.049109772727615852e-03
7.875033522727414859e-02 1.274378190340911043e+00 7.131172272727595574e-03
8.138791647727405820e-02 1.272417652840911018e+00 7.207709772727610709e-03
8.408612272727411519e-02 1.270386834090911021e+00 7.278872272727610060e-03
8.682481022727411846e-02 1.268301827840911056e+00 7.344866022727603028e-03
8.962596647727411048e-02 1.266145565340911050e+00 7.406891022727610241e-03
9.247834772727420161e-02 1.263923152840911168e+00 7.463228522727599623e-03
9.537917897727410388e-02 1.261637859090911196e+00 7.521609772727602672e-03
9.834219147727418786e-02 1.259279071590911236e+00 7.584659772727611604e-03
1.013469664772741474e-01 1.256865277840911066e+00 7.654191022727602212e-03
1.043848039772742320e-01 1.254407415340911047e+00 7.735672272727603382e-03
1.074644602272742389e-01 1.251897509090911020e+00 7.827216022727595535e-03
1.105819789772741757e-01 1.249338052840911040e+00 7.931634772727610971e-03
1.137196539772741821e-01 1.246741415340911097e+00 8.048284772727593017e-03
1.168623289772742213e-01 1.244124821590911090e+00 8.181334772727602567e-03
1.200203539772742301e-01 1.241478502840910991e+00 8.335316022727592977e-03
1.232121977272742641e-01 1.238784377840910889e+00 8.511509772727604561e-03
1.264613227272742280e-01 1.236016321590911016e+00 8.709884772727605196e-03
1.297406164772742510e-01 1.233197277840911044e+00 8.931966022727610977e-03
1.330433664772742719e-01 1.230335346590911039e+00 9.178647272727602502e-03
